date,phase
2023-11-19,44.86906433105469
2023-11-20,56.280181884765625
2023-11-21,67.38883972167969
2023-11-22,77.58636474609375
2023-11-23,86.31266021728516
2023-11-24,93.10317993164062
2023-11-25,97.63308715820312
2023-11-26,99.74687957763672
2023-11-27,99.46294403076172
2023-11-28,96.95037078857422
2023-11-29,92.48540496826172
2023-11-30,86.4012222290039
2023-12-01,79.04421997070312
2023-12-02,70.74494171142578
2023-12-03,61.80559158325195
2023-12-04,52.501808166503906
2023-12-05,43.09456253051758
2023-12-06,33.84769821166992
2023-12-07,25.046659469604492
2023-12-08,17.01364517211914
2023-12-09,10.113409996032715
2023-12-10,4.743339538574219
2023-12-11,1.302639126777649
2023-12-12,0.1403934508562088
2023-12-13,1.491074800491333
2023-12-14,5.415362358093262
2023-12-15,11.767216682434082
2023-12-16,20.20026206970215
2023-12-17,30.210729598999023
2023-12-18,41.2004508972168
2023-12-19,52.54005813598633
2023-12-20,63.61941909790039
2023-12-21,73.88262176513672
2023-12-22,82.85166931152344
2023-12-23,90.14418029785156
2023-12-24,95.48735046386719
2023-12-25,98.72660827636719
2023-12-26,99.82555389404297
2023-12-27,98.854736328125
2023-12-28,95.9700927734375
2023-12-29,91.38551330566406
2023-12-30,85.34537506103516
2023-12-31,78.10267639160156
2024-01-01,69.90621185302734
2024-01-02,60.997989654541016
2024-01-03,51.620338439941406
2024-01-04,42.03091812133789
2024-01-05,32.522682189941406
2024-01-06,23.444265365600586
2024-01-07,15.213631629943848
2024-01-08,8.314656257629395
2024-01-09,3.2653775215148926
2024-01-10,0.551776111125946
2024-01-11,0.5349840521812439
2024-01-12,3.3590903282165527
2024-01-13,8.897324562072754
2024-01-14,16.762941360473633
2024-01-15,26.380651473999023
2024-01-16,37.0866584777832
2024-01-17,48.21979522705078
2024-01-18,59.181697845458984
2024-01-19,69.46418762207031
2024-01-20,78.65425109863281
2024-01-21,86.42906951904297
2024-01-22,92.54981994628906
2024-01-23,96.85736846923828
2024-01-24,99.26914978027344
2024-01-25,99.77499389648438
2024-01-26,98.42955017089844
2024-01-27,95.34103393554688
2024-01-28,90.65739440917969
2024-01-29,84.55284881591797
2024-01-30,77.21770477294922
2024-01-31,68.85427856445312
2024-02-01,59.680625915527344
2024-02-02,49.94266128540039
2024-02-03,39.93376159667969
2024-02-04,30.018280029296875
2024-02-05,20.651464462280273
2024-02-06,12.382806777954102
2024-02-07,5.82637357711792
2024-02-08,1.585550308227539
2024-02-09,0.1378326267004013
2024-02-10,1.7139819860458374
2024-02-11,6.224838733673096
2024-02-12,13.274588584899902
2024-02-13,22.254396438598633
2024-02-14,32.469879150390625
2024-02-15,43.25048828125
2024-02-16,54.013641357421875
2024-02-17,64.28500366210938
2024-02-18,73.69100952148438
2024-02-19,81.94075012207031
2024-02-20,88.80860900878906
2024-02-21,94.12255096435547
2024-02-22,97.75870513916016
2024-02-23,99.64016723632812
2024-02-24,99.7372817993164
2024-02-25,98.06690979003906
2024-02-26,94.68950653076172
2024-02-27,89.70421600341797
2024-02-28,83.24378967285156
2024-02-29,75.4718246459961
2024-03-01,66.58512115478516
2024-03-02,56.82328414916992
2024-03-03,46.486148834228516
2024-03-04,35.95658874511719
2024-03-05,25.721294403076172
2024-03-06,16.375600814819336
2024-03-07,8.593548774719238
2024-03-08,3.048191785812378
2024-03-09,0.28723061084747314
2024-03-10,0.6016737222671509
2024-03-11,3.946547508239746
2024-03-12,9.955642700195312
2024-03-13,18.04186248779297
2024-03-14,27.53143310546875
2024-03-15,37.77659225463867
2024-03-16,48.21932601928711
2024-03-17,58.40888214111328
2024-03-18,67.99044036865234
2024-03-19,76.6825942993164
2024-03-20,84.25547790527344
2024-03-21,90.51527404785156
2024-03-22,95.296630859375
2024-03-23,98.46209716796875
2024-03-24,99.90640258789062
2024-03-25,99.56288146972656
2024-03-26,97.40955352783203
2024-03-27,93.47335815429688
2024-03-28,87.83228302001953
2024-03-29,80.61676788330078
2024-03-30,72.01277923583984
2024-03-31,62.2691650390625
2024-04-01,51.71062469482422
2024-04-02,40.754493713378906
2024-04-03,29.9244384765625
2024-04-04,19.847782135009766
2024-04-05,11.21960735321045
2024-04-06,4.722099781036377
2024-04-07,0.9073368906974792
2024-04-08,0.07979502528905869
2024-04-09,2.2297475337982178
2024-04-10,7.0504231452941895
2024-04-11,14.028473854064941
2024-04-12,22.562849044799805
2024-04-13,32.06544494628906
2024-04-14,42.01998519897461
2024-04-15,52.00029754638672
2024-04-16,61.661746978759766
2024-04-17,70.7207260131836
2024-04-18,78.93280029296875
2024-04-19,86.07574462890625
2024-04-20,91.93999481201172
2024-04-21,96.32737731933594
2024-04-22,99.05725860595703
2024-04-23,99.97848510742188
2024-04-24,98.98429870605469
2024-04-25,96.0273208618164
2024-04-26,91.13190460205078
2024-04-27,84.40283966064453
2024-04-28,76.03079223632812
2024-04-29,66.29640197753906
2024-04-30,55.574554443359375
2024-05-01,44.337833404541016
2024-05-02,33.1541748046875
2024-05-03,22.66884422302246
2024-05-04,13.560066223144531
2024-05-05,6.463953495025635
2024-05-06,1.8798999786376953
2024-05-07,0.08510497212409973
2024-05-08,1.0922019481658936
2024-05-09,4.668304920196533
2024-05-10,10.405316352844238
2024-05-11,17.810455322265625
2024-05-12,26.38519859313965
2024-05-13,35.67510986328125
2024-05-14,45.289146423339844
2024-05-15,54.896514892578125
2024-05-16,64.21118927001953
2024-05-17,72.97268676757812
2024-05-18,80.9288558959961
2024-05-19,87.82440948486328
2024-05-20,93.39791107177734
2024-05-21,97.38850402832031
